Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
FOUR LANE ENDS,37,57,77,107,138,168,225,354,537,755,968,1128,1318,1516,1738,1965,2219,2474,2745,3003,3246,3473,3679,3866,4033,4186,4188,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
FOXHILLS,12,18,23,31,40,48,64,89,121,159,199,235,274,314,356,398,442,482,523,562,598,630,660,686,708,729,732,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
FULLERTON ROAD,16,26,38,55,71,86,116,195,312,452,591,708,842,979,1132,1288,1459,1629,1809,1981,2141,2288,2418,2535,2635,2724,2725,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
FURNESS AVENUE,69,118,168,240,318,391,532,786,1114,1505,1892,2201,2552,2920,3326,3739,4196,4646,5117,5557,5970,6350,6690,7000,7271,7520,7522,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GAISBY LANE,72,110,146,200,259,313,419,655,986,1381,1725,1911,2178,2471,2810,3159,3562,3978,4430,4878,5312,5729,6121,6492,6842,7178,7182,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GIBRALTAR ROAD,89,142,202,293,389,474,637,974,1434,1982,2535,2999,3515,4046,4622,5208,5835,6442,7077,7679,8241,8738,9181,9582,9932,10253,10258,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GIBSON LANE,120,213,303,431,575,712,980,1301,1629,2017,2399,2682,2995,3331,3688,4049,4447,4813,5189,5532,5861,6162,6434,6690,6921,7151,7155,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GILDERSOME,73,118,162,226,297,364,495,681,897,1154,1404,1590,1804,2031,2280,2534,2815,3087,3370,3634,3885,4116,4325,4518,4690,4853,4857,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GLEADLESS VALLEY,37,60,87,127,169,205,275,486,804,1186,1557,1849,2196,2555,2959,3371,3831,4294,4783,5254,5697,6107,6475,6806,7096,7355,7357,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GOOLE,92,147,204,289,381,466,630,910,1266,1690,2137,2548,2982,3425,3873,4326,4804,5253,5717,6149,6555,6916,7236,7526,7775,8006,8016,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GRAINTHORPE,24,36,51,73,97,118,158,223,304,400,596,961,1259,1527,1646,1760,1832,1838,1838,1821,1801,1763,1716,1664,1600,1542,1546,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GREAT COATES,65,111,167,251,338,410,549,806,1136,1524,2006,2592,3142,3682,4223,4764,5203,5531,5838,6110,6356,6547,6696,6818,6896,6965,6967,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GREENHILL,23,36,52,75,99,119,158,295,507,763,1024,1257,1518,1785,2080,2380,2710,3038,3383,3714,4021,4299,4544,4759,4941,5097,5098,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GREYFRIARS RD,27,38,49,66,85,102,136,197,278,374,468,540,624,713,809,906,1014,1119,1231,1338,1439,1533,1618,1697,1767,1833,1836,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GREYFRIARS ROAD 3/4,25,36,48,66,85,102,136,197,279,376,472,552,641,734,833,933,1042,1147,1258,1363,1462,1552,1634,1708,1773,1833,1836,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GRIMETHORPE,55,97,148,229,317,390,527,718,930,1177,1450,1711,1965,2223,2489,2757,2998,3193,3385,3552,3706,3832,3936,4028,4099,4168,4169,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GROVE STREET,38,48,57,74,92,108,140,193,263,346,417,456,510,569,635,702,776,850,929,1006,1082,1155,1225,1292,1356,1421,1425,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
GUARDIAN GLASS,7,9,14,23,32,37,48,68,95,126,179,270,346,414,457,500,526,534,538,538,535,523,507,490,470,450,452,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HACKENTHORPE,55,95,136,193,252,305,408,649,988,1392,1796,2121,2491,2874,3299,3732,4208,4677,5169,5637,6076,6479,6837,7158,7434,7679,7681,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HALIFAX 33/11KV,91,130,167,224,287,345,458,688,1007,1387,1720,1900,2154,2434,2755,3086,3466,3858,4281,4695,5097,5487,5854,6203,6532,6850,6858,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HALLAM STREET,66,109,151,212,282,348,476,650,844,1075,1292,1440,1617,1810,2024,2241,2485,2721,2969,3199,3419,3624,3813,3991,4154,4313,4315,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HARDEN,42,72,112,175,241,295,398,531,669,828,1048,1351,1614,1870,2122,2372,2533,2612,2663,2691,2709,2682,2643,2603,2552,2512,2513,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HARPSWELL,19,27,39,57,76,91,120,167,226,294,404,579,729,868,964,1059,1129,1162,1184,1198,1207,1200,1187,1170,1146,1124,1128,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HARWORTH,101,171,265,421,591,727,980,1268,1540,1847,2267,2823,3292,3746,4171,4589,4820,4888,4904,4871,4831,4757,4667,4575,4466,4384,4388,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HAWORTH 1,44,74,109,159,211,258,349,489,656,853,1079,1328,1570,1814,2064,2315,2554,2753,2944,3115,3269,3366,3444,3512,3562,3611,3612,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HAWORTH 2,37,63,91,132,176,216,295,413,552,717,892,1054,1222,1395,1576,1758,1947,2118,2289,2446,2591,2710,2814,2909,2990,3067,3068,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HAXEY,34,56,92,148,203,244,322,448,598,770,1045,1483,1852,2200,2503,2800,2982,3046,3053,3036,3010,2948,2871,2788,2688,2597,2601,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HAYTON,155,259,383,574,783,965,1311,1678,2006,2381,2902,3623,4238,4833,5293,5746,6076,6217,6269,6252,6230,6160,6074,5989,5887,5823,5832,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HAZLEHEAD,14,25,35,51,69,85,116,156,199,251,308,369,427,487,544,601,658,706,751,790,827,856,880,903,921,939,940,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HEBDEN BRIDGE,16,26,48,84,119,142,183,269,382,511,683,911,1115,1310,1481,1650,1790,1887,1974,2048,2107,2103,2088,2066,2032,1999,2000,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HEDLEY CHASE,32,46,58,78,100,120,159,234,334,452,543,561,613,677,754,836,935,1042,1162,1284,1407,1532,1655,1778,1901,2026,2028,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
HEDON ROAD,5,7,10,14,18,22,30,41,53,69,84,97,112,126,143,159,177,194,212,228,243,257,269,280,290,299,299,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
