Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
BOWESFIELD 33/11KV,0,0,0,0,0,0,0,0.01,0.017,0.021,0.024,0.031,0.027,0.025,0.023,0.022,0.02,0.019,0.018,0.017,0.016,0.016,0.016,0.016,0.018,0.017,0.016,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
BOWESFIELD 66/11KV,0,0,0,0,0,0,0,0.008,0.012,0.015,0.018,0.023,0.02,0.018,0.017,0.016,0.015,0.014,0.013,0.013,0.012,0.011,0.012,0.012,0.013,0.012,0.012,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
BRANCEPETH,12.838,12.838,12.85,12.848,12.846,12.844,12.843,12.936,12.997,13.036,13.064,13.126,13.091,13.069,13.054,13.038,13.026,13.015,13.007,12.998,12.99,12.983,12.987,12.989,13,12.995,12.987,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
BREAMISH STREET,0,0,0,0,0,0,0,0.002,0.003,0.004,0.004,0.006,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
BRENDA TRADING,0,0,0,0,0,0,0,0.019,0.03,0.038,0.044,0.056,0.049,0.045,0.042,0.039,0.036,0.034,0.033,0.031,0.029,0.028,0.029,0.029,0.032,0.03,0.029,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
CAMPLESHON ROAD,0,0,0,0,0,0,0,0.022,0.036,0.045,0.051,0.066,0.058,0.053,0.049,0.046,0.043,0.04,0.039,0.036,0.035,0.033,0.034,0.035,0.037,0.036,0.034,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
CARLEY HILL,0,0,0,0,0,0,0,0.006,0.01,0.012,0.014,0.018,0.016,0.015,0.014,0.013,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.01,0.01,0.01,0.009,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
CARLIN HOW T3 T4,2.168,2.168,2.176,2.174,2.173,2.172,2.171,2.207,2.229,2.244,2.255,2.278,2.265,2.257,2.251,2.245,2.24,2.236,2.233,2.229,2.226,2.224,2.225,2.226,2.23,2.228,2.225,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
CARR HILL,0,0,0,0,0,0,0,0.012,0.02,0.026,0.029,0.038,0.033,0.03,0.028,0.026,0.025,0.023,0.022,0.021,0.02,0.019,0.019,0.02,0.021,0.021,0.02,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
CATTERICK CAMP,0,0,0.001,0.001,0.001,0.001,0,0.336,0.553,0.692,0.793,1.015,0.892,0.815,0.76,0.705,0.661,0.625,0.595,0.562,0.535,0.512,0.523,0.534,0.573,0.553,0.527,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
