Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
SALTERHEBBLE,2.558,2.735,3.029,3.176,3.337,3.499,3.657,3.993,4.316,4.607,4.903,4.983,4.967,4.979,4.995,5.009,5.027,5.055,5.036,5.066,5.092,5.132,5.168,5.197,5.232,5.269,5.257,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
SALTSHOUSE ROAD,1.715,1.81,1.918,2.037,2.162,2.286,2.413,2.593,2.784,2.96,3.153,3.195,3.21,3.229,3.248,3.269,3.289,3.313,3.306,3.333,3.359,3.388,3.418,3.441,3.471,3.499,3.499,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
SANDHILL LANE,1.311,1.43,1.604,1.733,1.878,2.002,2.111,2.51,2.894,3.284,3.666,3.998,4.086,4.117,4.166,4.191,4.222,4.251,3.897,3.935,3.973,4.013,4.056,4.097,4.128,4.165,4.157,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
SAXON ROAD,0.887,1.046,1.221,1.39,1.568,1.745,1.924,2.216,2.515,2.791,3.084,3.167,3.184,3.209,3.235,3.261,3.289,3.322,3.286,3.324,3.359,3.401,3.443,3.477,3.518,3.558,3.555,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
SCARTHO,4.978,5.429,5.984,6.849,7.796,8.62,9.372,11.537,13.709,15.932,18.175,20.061,20.683,20.915,21.24,21.434,21.661,21.852,19.879,20.137,20.398,20.648,20.932,21.191,21.408,21.644,21.631,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
SCHOLES,7.437,7.555,7.765,7.897,8.043,8.183,8.317,8.6,8.885,9.156,9.439,9.571,9.601,9.623,9.651,9.673,9.698,9.726,9.623,9.656,9.688,9.724,9.762,9.793,9.827,9.862,9.857,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
SCISSETT,2.876,3.073,3.4,3.647,3.917,4.176,4.423,4.948,5.478,5.985,6.511,6.774,6.841,6.885,6.94,6.982,7.03,7.082,6.868,6.931,6.99,7.058,7.128,7.187,7.25,7.314,7.306,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
SCULCOATES A,0.721,0.935,1.146,1.288,1.437,1.585,1.736,1.951,2.179,2.389,2.619,2.669,2.688,2.71,2.733,2.757,2.782,2.81,2.772,2.805,2.835,2.87,2.906,2.934,2.97,3.003,3.003,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
SEACROFT,0.812,0.903,1.012,1.148,1.294,1.432,1.568,1.835,2.107,2.368,2.641,2.779,2.821,2.846,2.877,2.901,2.928,2.956,2.843,2.878,2.91,2.945,2.983,3.014,3.048,3.082,3.08,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
SEATON,4.957,5.41,6.173,6.924,7.765,8.481,9.106,11.449,13.707,16,18.246,20.244,20.779,20.964,21.258,21.401,21.589,21.754,19.68,19.901,20.126,20.357,20.61,20.848,21.027,21.242,21.199,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
