Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
DURHAM EAST,1.416,1.474,1.542,1.624,1.714,1.82,1.936,2.023,2.125,2.215,2.318,2.429,2.56,2.679,2.82,2.964,3.125,3.294,3.483,3.666,3.869,4.055,4.247,4.48,4.667,4.88,5.072,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
EASTFIELD,2.134,2.195,2.239,2.279,2.325,2.388,2.457,2.535,2.637,2.703,2.804,2.9,2.973,3.069,3.168,3.281,3.4,3.539,3.698,3.877,4.049,4.242,4.447,4.62,4.834,5.04,5.269,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
EASTGATE CEMENT,0.591,0.613,0.64,0.674,0.712,0.757,0.807,0.847,0.895,0.935,0.984,1.035,1.09,1.144,1.206,1.271,1.343,1.42,1.506,1.592,1.685,1.774,1.866,1.97,2.061,2.161,2.257,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
EDUCATIONAL PRECINCT,0.52,0.57,0.614,0.657,0.707,0.767,0.833,0.892,0.963,1.019,1.092,1.165,1.238,1.315,1.4,1.492,1.592,1.701,1.824,1.952,2.086,2.22,2.36,2.504,2.646,2.794,2.942,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
ELVINGTON,1.731,1.819,1.872,1.899,1.93,1.966,2.006,2.038,2.077,2.109,2.148,2.189,2.234,2.277,2.327,2.379,2.437,2.498,2.568,2.637,2.711,2.783,2.857,2.94,3.014,3.094,3.17,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
FARADAY STREET,1.094,1.177,1.264,1.369,1.486,1.63,1.787,1.927,2.097,2.23,2.401,2.575,2.749,2.932,3.135,3.353,3.59,3.85,4.143,4.446,4.764,5.081,5.412,5.756,6.091,6.442,6.792,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
FAWDON T1 & SEATON BURN T1,2.461,2.529,2.587,2.651,2.725,2.82,2.925,3.036,3.176,3.273,3.414,3.549,3.662,3.8,3.946,4.109,4.282,4.482,4.707,4.955,5.201,5.466,5.747,6,6.289,6.577,6.885,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
FISHBURN,28.096,28.193,28.272,28.349,28.438,28.55,28.674,28.797,28.951,29.062,29.218,29.369,29.499,29.655,29.823,30.008,30.206,30.43,30.683,30.635,30.911,31.202,31.509,31.797,32.111,32.428,32.762,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
FLATWORTH CENTRAL,1.025,1.062,1.095,1.131,1.172,1.223,1.279,1.332,1.397,1.446,1.512,1.577,1.639,1.707,1.781,1.862,1.949,2.046,2.156,2.272,2.391,2.514,2.643,2.77,2.902,3.036,3.175,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
FOSS ISLANDS,1.288,1.371,1.466,1.586,1.719,1.88,2.056,2.206,2.387,2.533,2.716,2.904,3.1,3.298,3.523,3.76,4.021,4.303,4.62,4.943,5.287,5.623,5.972,6.35,6.701,7.076,7.441,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
FOSSWAY 33/11KV,0.857,0.914,0.966,1.025,1.093,1.18,1.275,1.372,1.494,1.581,1.703,1.821,1.925,2.047,2.177,2.322,2.476,2.651,2.85,3.066,3.281,3.511,3.754,3.979,4.228,4.478,4.742,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
FOURSTONES 20KV,38.945,39.061,39.18,39.317,39.468,39.651,39.85,40.016,40.214,40.377,40.577,40.785,41.008,41.228,41.48,41.744,42.035,42.348,42.7,43.053,43.434,43.8,44.181,44.603,44.982,45.393,45.788,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
FYLANDS BRIDGE,2.821,2.956,3.05,3.127,3.214,3.324,3.446,3.566,3.716,3.824,3.975,4.123,4.255,4.407,4.571,4.752,4.946,5.164,5.412,5.678,5.947,6.23,6.528,6.809,7.115,7.423,7.747,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
GALE LANE,5.817,5.847,5.87,5.897,5.928,5.974,6.024,6.09,6.177,6.229,6.316,6.395,6.447,6.525,6.602,6.694,6.787,6.901,7.032,7.184,7.326,7.493,7.672,7.809,7.997,8.173,8.376,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
GARWOOD STREET,1.56,1.638,1.713,1.797,1.891,2.005,2.13,2.24,2.373,2.479,2.613,2.749,2.888,3.032,3.193,3.365,3.553,3.758,3.989,4.226,4.476,4.724,4.982,5.255,5.515,5.791,6.064,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
GATESHEAD CENTRAL,1.616,1.666,1.717,1.773,1.835,1.909,1.99,2.056,2.134,2.199,2.278,2.361,2.452,2.54,2.641,2.747,2.864,2.989,3.129,3.269,3.42,3.564,3.713,3.883,4.031,4.193,4.346,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
GATESHEAD EAST,0.157,0.178,0.193,0.205,0.218,0.234,0.251,0.264,0.279,0.293,0.308,0.325,0.344,0.362,0.383,0.404,0.428,0.453,0.482,0.509,0.539,0.567,0.596,0.631,0.659,0.691,0.72,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
GOSFORTH 33/11KV,0.667,0.71,0.742,0.769,0.8,0.839,0.881,0.921,0.97,1.006,1.055,1.104,1.151,1.202,1.257,1.318,1.383,1.456,1.538,1.625,1.714,1.806,1.901,1.996,2.094,2.194,2.297,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
GRANGETOWN,1.905,1.971,2.036,2.112,2.199,2.307,2.426,2.54,2.682,2.787,2.93,3.07,3.2,3.346,3.505,3.678,3.865,4.074,4.311,4.563,4.819,5.086,5.367,5.638,5.924,6.216,6.518,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
GREATHAM,0.228,0.244,0.262,0.284,0.309,0.338,0.369,0.393,0.421,0.446,0.474,0.505,0.54,0.573,0.612,0.651,0.695,0.742,0.793,0.844,0.9,0.951,1.004,1.068,1.12,1.179,1.232,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
GUISBOROUGH T1 T2,7.212,7.314,7.41,7.518,7.641,7.795,7.963,8.123,8.321,8.469,8.668,8.865,9.048,9.253,9.477,9.72,9.983,10.277,10.609,10.71,11.07,11.442,11.833,12.215,12.613,13.021,13.441,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
GUISBOROUGH T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
HARLOW GREEN,1.508,1.57,1.617,1.667,1.724,1.801,1.884,1.978,2.097,2.177,2.297,2.41,2.5,2.615,2.734,2.869,3.012,3.178,3.367,3.578,3.784,4.011,4.253,4.461,4.711,4.956,5.224,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
HARMIRE BRIDGE,1.954,2.035,2.123,2.229,2.345,2.485,2.638,2.762,2.91,3.034,3.184,3.34,3.51,3.677,3.868,4.067,4.288,4.524,4.79,4.972,5.258,5.532,5.815,6.135,6.417,6.724,7.016,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
HARRATON,2.356,2.411,2.466,2.53,2.601,2.689,2.785,2.871,2.976,3.057,3.163,3.27,3.376,3.488,3.613,3.747,3.892,4.052,4.232,4.42,4.615,4.811,5.016,5.227,5.435,5.652,5.87,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
HARROGATE 132/11KV,2.466,2.597,2.729,2.884,3.058,3.274,3.511,3.727,3.994,4.197,4.465,4.733,4.994,5.274,5.584,5.918,6.28,6.681,7.133,7.606,8.096,8.594,9.115,9.641,10.169,10.718,11.273,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
HARROGATE WEST,0.553,0.6,0.644,0.691,0.743,0.808,0.878,0.941,1.017,1.076,1.153,1.23,1.309,1.39,1.481,1.579,1.685,1.801,1.932,2.068,2.209,2.351,2.499,2.653,2.802,2.959,3.115,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
HARTMOOR 66/20KV,8.184,8.301,8.404,8.514,8.638,8.791,8.959,9.114,9.304,9.448,9.639,9.83,10.015,10.215,10.435,10.673,10.931,11.216,11.538,11.876,12.225,12.58,12.952,13.327,13.704,14.096,14.493,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
