Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
TINSLEY PARK ROAD,1.738,1.709,1.499,1.48,1.462,1.434,1.346,1.239,1.091,0.883,0.621,0.555,0.495,0.434,0.377,0.316,0.244,0.168,0.096,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.007,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
TINSLEY WIRE INDUSTRIES,0.639,0.628,0.547,0.537,0.528,0.518,0.484,0.445,0.394,0.326,0.227,0.203,0.181,0.159,0.138,0.116,0.09,0.062,0.034,0.001,0.001,0.001,0.001,0.001,0,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
TIVERTON ROAD,0.919,0.903,0.786,0.773,0.759,0.744,0.696,0.64,0.566,0.469,0.326,0.292,0.261,0.229,0.199,0.167,0.129,0.089,0.049,0.002,0.002,0.001,0.001,0.001,0,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
TODMORDEN,2.131,2.092,1.822,1.791,1.759,1.724,1.613,1.484,1.313,1.088,0.755,0.677,0.605,0.53,0.461,0.387,0.3,0.206,0.114,0.005,0.004,0.003,0.003,0.002,0.001,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
TOLLER LANE,1.948,1.912,1.666,1.637,1.608,1.576,1.475,1.356,1.2,0.994,0.69,0.619,0.553,0.485,0.421,0.353,0.274,0.189,0.105,0.004,0.004,0.003,0.002,0.002,0.001,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
TONG STREET,1.105,1.085,0.945,0.929,0.912,0.894,0.837,0.769,0.681,0.564,0.392,0.351,0.314,0.275,0.239,0.201,0.156,0.107,0.059,0.003,0.002,0.002,0.001,0.001,0.001,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
UPPER BASINGHALL STREET,2.452,2.407,2.097,2.061,2.024,1.984,1.857,1.707,1.51,1.252,0.869,0.779,0.696,0.61,0.531,0.445,0.345,0.237,0.132,0.006,0.005,0.004,0.003,0.002,0.001,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
VARLEY STREET,2.145,2.106,1.835,1.803,1.771,1.736,1.625,1.494,1.322,1.095,0.76,0.682,0.609,0.534,0.464,0.389,0.302,0.208,0.115,0.005,0.004,0.003,0.003,0.002,0.001,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
VICTORIA STREET,4.396,4.377,4.006,4.082,4.179,4.117,3.931,3.633,3.117,2.168,1.65,1.451,1.277,1.119,0.969,0.801,0.615,0.419,0.282,0.143,0.142,0.141,0.14,0.139,0.138,0.137,0.137,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WALESBY,1.777,1.745,1.52,1.494,1.467,1.438,1.346,1.237,1.095,0.907,0.63,0.565,0.504,0.442,0.385,0.322,0.25,0.172,0.095,0.004,0.003,0.003,0.002,0.002,0.001,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WARREN LANE,0.754,0.741,0.645,0.634,0.623,0.611,0.571,0.525,0.465,0.385,0.267,0.24,0.214,0.188,0.163,0.137,0.106,0.073,0.04,0.002,0.001,0.001,0.001,0.001,0,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WATH UPON DEARNE,8.583,8.688,8.386,8.858,9.422,9.323,9.059,8.407,7.026,4.057,3.432,2.955,2.562,2.242,1.932,1.571,1.192,0.802,0.655,0.584,0.583,0.583,0.582,0.582,0.581,0.581,0.581,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WAVERLEY BUSINESS PARK,0.13,0.127,0.111,0.109,0.107,0.105,0.098,0.09,0.08,0.066,0.046,0.041,0.037,0.032,0.028,0.024,0.018,0.013,0.007,0,0,0,0,0,0,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WAWNE ROAD,0.486,0.477,0.416,0.409,0.401,0.394,0.368,0.339,0.3,0.248,0.172,0.155,0.138,0.121,0.105,0.088,0.068,0.047,0.026,0.001,0.001,0.001,0.001,0,0,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WEELAND ROAD,0.631,0.619,0.539,0.53,0.521,0.51,0.478,0.439,0.388,0.322,0.224,0.2,0.179,0.157,0.136,0.114,0.089,0.061,0.034,0.001,0.001,0.001,0.001,0.001,0,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WELLINGTON STREET,2.909,2.856,2.488,2.445,2.401,2.354,2.203,2.025,1.792,1.485,1.031,0.924,0.825,0.724,0.629,0.528,0.409,0.282,0.156,0.007,0.006,0.005,0.004,0.003,0.002,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WESLEY CRESCENT,1.22,1.198,1.044,1.025,1.007,0.987,0.924,0.85,0.752,0.623,0.432,0.388,0.346,0.304,0.264,0.221,0.172,0.118,0.065,0.003,0.002,0.002,0.002,0.001,0.001,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WEST DOCKS,1.241,1.218,1.061,1.043,1.024,1.004,0.939,0.864,0.764,0.633,0.44,0.394,0.352,0.309,0.268,0.225,0.175,0.12,0.067,0.003,0.002,0.002,0.002,0.001,0.001,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WEST END LANE,1.568,1.539,1.341,1.318,1.294,1.269,1.187,1.092,0.966,0.8,0.556,0.498,0.445,0.39,0.339,0.284,0.221,0.152,0.084,0.004,0.003,0.002,0.002,0.001,0.001,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WEST MOOR PARK,0.613,0.602,0.524,0.515,0.506,0.496,0.464,0.427,0.378,0.313,0.217,0.195,0.174,0.153,0.133,0.111,0.086,0.059,0.033,0.001,0.001,0.001,0.001,0.001,0,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WEST PARK,0.763,0.749,0.653,0.642,0.63,0.618,0.578,0.531,0.47,0.39,0.27,0.243,0.217,0.19,0.165,0.139,0.107,0.074,0.041,0.002,0.001,0.001,0.001,0.001,0,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WESTCOTT STREET,2.26,2.219,1.933,1.9,1.866,1.829,1.712,1.574,1.392,1.154,0.801,0.718,0.641,0.562,0.489,0.41,0.318,0.219,0.121,0.005,0.004,0.004,0.003,0.002,0.001,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WETHERBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WHEATACRE ROAD,2.241,2.241,2.082,2.144,2.22,2.19,2.103,1.946,1.656,1.092,0.856,0.748,0.656,0.574,0.497,0.409,0.313,0.212,0.151,0.095,0.094,0.094,0.093,0.093,0.093,0.092,0.092,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WHEATLEY PARK,1.409,1.383,1.205,1.184,1.163,1.14,1.067,0.981,0.868,0.719,0.499,0.448,0.4,0.351,0.305,0.256,0.198,0.136,0.076,0.003,0.003,0.002,0.002,0.001,0.001,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WHINGATE,2.914,2.883,2.58,2.587,2.602,2.558,2.421,2.233,1.941,1.46,1.066,0.945,0.838,0.734,0.637,0.53,0.409,0.28,0.173,0.054,0.053,0.052,0.052,0.051,0.05,0.049,0.049,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WHITE LEE,2.175,2.135,1.86,1.828,1.796,1.76,1.647,1.514,1.34,1.11,0.771,0.691,0.617,0.541,0.471,0.395,0.306,0.211,0.117,0.005,0.004,0.003,0.003,0.002,0.001,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
WHITEHALL ROAD 2/3,0.519,0.509,0.444,0.436,0.428,0.42,0.393,0.361,0.32,0.265,0.184,0.165,0.147,0.129,0.112,0.094,0.073,0.05,0.028,0.001,0.001,0.001,0.001,0,0,0,0,NPgY,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
