Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
STANLEY STREET,42,52,54,59,69,81,92,119,166,221,257,257,269,290,317,349,391,447,502,561,628,699,771,837,906,977,1004,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
STANNINGTON ROAD,60,102,123,146,187,235,284,386,563,764,959,1138,1305,1481,1673,1874,2105,2373,2632,2874,3107,3334,3538,3691,3823,3943,4044,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
STATION ROAD,94,144,164,188,238,296,357,433,560,711,853,973,1084,1208,1346,1492,1659,1855,2046,2223,2395,2567,2725,2850,2964,3076,3162,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
STEVENSON ROAD,5,5,6,6,6,7,7,7,8,8,10,11,12,13,14,15,16,17,18,19,20,21,21,22,23,23,24,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
STOKE STREET,16,18,18,20,22,24,25,27,29,32,36,40,43,47,50,54,58,62,66,69,72,75,78,81,85,88,91,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
STOURTON 132/11KV,2,3,4,4,5,6,7,9,12,16,20,24,28,32,36,40,45,51,56,61,65,69,73,76,78,80,82,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
STOURTON 33/11KV,26,47,60,75,100,127,153,185,238,300,366,437,498,561,627,695,758,829,898,957,1012,1065,1111,1142,1166,1187,1216,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
STOW,24,41,52,65,87,109,132,151,184,222,287,400,480,545,593,641,667,681,695,700,698,694,688,674,658,644,661,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
SWAN BANK LANE,50,81,95,111,140,174,210,257,336,428,505,554,610,677,752,833,927,1040,1150,1252,1355,1459,1558,1638,1714,1789,1832,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
SWEET STREET,23,32,32,34,40,49,57,69,89,113,124,112,109,112,118,127,141,161,182,207,237,270,306,342,381,423,435,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
SWINNOW MOOR,80,139,162,188,243,309,380,455,581,730,862,962,1061,1174,1303,1440,1601,1791,1977,2147,2314,2481,2636,2757,2868,2975,3050,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
TADCASTER,59,101,133,176,241,306,368,415,497,590,730,949,1100,1233,1351,1464,1515,1547,1580,1593,1591,1585,1574,1548,1514,1489,1528,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
TANKERSLEY PARK,48,83,107,131,166,204,242,310,426,557,692,829,961,1096,1239,1386,1544,1723,1894,2044,2185,2319,2439,2522,2591,2650,2712,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
TEMPLEBOROUGH 33/11KV,62,114,138,165,220,284,350,394,467,555,645,739,813,895,983,1075,1172,1275,1377,1462,1538,1613,1679,1724,1762,1800,1846,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
THORNBURY,56,93,107,123,158,202,248,301,392,498,600,689,769,857,956,1060,1181,1324,1463,1590,1712,1833,1942,2025,2099,2169,2225,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
THORNE,82,146,173,202,262,335,413,475,578,701,826,951,1060,1178,1305,1437,1581,1744,1904,2040,2167,2291,2403,2484,2554,2620,2686,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
THORNTON,80,150,184,219,284,362,444,539,698,884,1059,1214,1366,1531,1713,1903,2118,2366,2608,2822,3027,3227,3410,3545,3662,3771,3861,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
THORPE ROAD,63,114,137,162,216,280,347,378,430,492,584,727,826,915,993,1070,1117,1150,1185,1202,1208,1213,1216,1209,1200,1199,1231,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
TICKHILL ROAD,47,81,110,143,189,235,279,354,485,632,825,1095,1308,1508,1705,1896,2028,2161,2289,2393,2482,2564,2630,2660,2673,2683,2749,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
TINGLEY,90,175,213,253,330,422,520,594,715,858,991,1105,1223,1355,1500,1653,1821,2012,2201,2357,2503,2648,2784,2883,2972,3056,3123,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
TINSLEY PARK ROAD,22,28,30,33,39,46,54,59,68,80,92,102,110,119,130,141,154,169,183,196,209,222,234,245,255,265,272,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
TINSLEY WIRE INDUSTRIES,14,22,25,29,37,46,56,68,87,111,133,152,170,189,211,234,261,292,322,349,376,402,425,443,460,475,487,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
TIVERTON ROAD,45,84,101,119,155,198,244,308,416,541,664,782,888,1001,1126,1256,1405,1577,1744,1895,2039,2178,2303,2393,2470,2539,2603,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
TODMORDEN,45,72,88,107,139,173,207,259,349,453,559,666,758,853,953,1057,1169,1296,1419,1530,1631,1726,1812,1873,1925,1974,2025,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
