Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
HAXBY ROAD T2 T3,72,118,158,217,281,340,394,602,958,1393,1795,1911,2177,2428,2624,2773,2872,3060,3241,3399,3539,3664,3779,3870,3949,4011,4013,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
HEBBURN,58,100,141,203,272,336,394,534,664,812,947,983,992,985,983,977,968,993,1021,1051,1079,1098,1116,1129,1141,1153,1154,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
HEBBURN WEST,16,30,44,64,86,105,124,169,211,259,302,312,315,314,315,314,312,320,330,341,352,359,365,368,372,375,375,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
HEDWORTH,84,150,214,309,414,508,595,852,1184,1580,1965,2109,2279,2410,2510,2579,2615,2733,2847,2953,3047,3121,3200,3274,3337,3390,3391,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
HEIGHINGTON,4,5,5,5,6,8,9,11,13,15,17,20,22,23,24,25,27,28,29,30,32,33,34,34,35,35,36,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
HEXHAM,84,135,183,254,334,409,477,665,894,1167,1502,1793,2005,2155,2269,2353,2402,2527,2643,2745,2835,2910,2983,3045,3096,3136,3138,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
HIGH BARMSTON,108,184,255,361,479,588,689,960,1277,1653,2033,2224,2408,2545,2656,2738,2787,2935,3083,3215,3335,3434,3519,3574,3621,3661,3663,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
HIGH FLATTS,146,253,354,503,667,817,955,1346,1826,2398,2993,3331,3661,3915,4118,4269,4362,4600,4835,5047,5238,5400,5539,5633,5714,5779,5784,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
HOUGHTON,227,412,595,870,1175,1449,1702,2317,2876,3520,4208,4618,4780,4809,4836,4838,4809,4953,5101,5250,5386,5477,5569,5646,5711,5771,5774,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
HOWDON,35,58,80,113,149,183,213,307,437,594,728,744,798,847,886,914,930,972,1012,1052,1087,1115,1147,1177,1203,1225,1226,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
HUNTINGTON NEW LANE,86,145,200,281,370,453,528,749,1039,1385,1773,2042,2276,2453,2588,2686,2745,2885,3017,3136,3242,3330,3418,3496,3561,3613,3615,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
HUSTHWAITE 33/11KV,118,192,266,376,500,615,721,976,1226,1514,1908,2312,2513,2618,2695,2747,2770,2882,2983,3074,3155,3215,3286,3358,3417,3466,3474,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
JARROW,36,60,84,119,158,193,226,318,430,563,683,711,751,783,809,826,834,865,897,929,957,979,1003,1026,1045,1062,1063,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
KENTON,93,160,223,318,421,515,601,869,1241,1686,2083,2152,2312,2451,2557,2631,2671,2798,2919,3029,3125,3202,3288,3377,3454,3518,3520,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
