Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ELSECAR,1.482,1.565,1.647,1.698,1.751,1.816,1.886,1.951,2.035,2.095,2.178,2.258,2.333,2.418,2.508,2.608,2.715,2.835,2.97,3.116,3.26,3.414,3.569,3.718,3.879,4.054,4.241,NPgY,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
ENDIKE LANE,5.736,5.858,5.975,6.037,6.097,6.173,6.251,6.327,6.426,6.492,6.589,6.68,6.763,6.861,6.962,7.076,7.197,7.335,7.488,7.66,7.823,8.003,8.181,8.345,8.531,8.74,8.97,NPgY,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
EPWORTH,3.336,3.465,3.581,3.648,3.715,3.796,3.88,3.953,4.043,4.113,4.202,4.292,4.39,4.49,4.599,4.716,4.843,4.982,5.134,4.909,5.072,5.234,5.391,5.566,5.726,5.919,6.115,NPgY,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
FARNLEY CRESCENT,1.15,1.247,1.332,1.365,1.395,1.433,1.473,1.519,1.582,1.616,1.677,1.73,1.764,1.817,1.867,1.93,1.993,2.072,2.159,2.265,2.355,2.471,2.585,2.667,2.791,2.925,3.084,NPgY,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
FENTON LANE,7.41,7.463,7.519,7.559,7.602,7.654,7.708,7.753,7.807,7.853,7.907,7.963,8.028,8.092,8.162,8.236,8.317,8.404,8.5,8.599,8.704,8.802,8.9,9.014,9.112,9.227,9.342,NPgY,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
FERRYBRIDGE A 11KV,3.549,3.766,3.974,4.107,4.241,4.407,4.582,4.74,4.937,5.085,5.281,5.475,5.672,5.882,6.109,6.356,6.623,6.918,7.245,7.592,7.942,8.301,8.659,9.03,9.396,9.811,10.239,NPgY,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
FIR TREE LANE,1.295,1.398,1.488,1.528,1.565,1.614,1.666,1.725,1.806,1.851,1.93,1.998,2.042,2.111,2.177,2.258,2.339,2.44,2.553,2.69,2.809,2.959,3.109,3.218,3.38,3.549,3.749,NPgY,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
FIRST AVENUE,2.958,3.058,3.144,3.167,3.182,3.2,3.22,3.246,3.287,3.303,3.341,3.37,3.381,3.408,3.431,3.465,3.496,3.54,3.587,3.652,3.696,3.769,3.836,3.87,3.947,4.037,4.149,NPgY,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
FIRTH BROWN,1.063,1.131,1.194,1.233,1.272,1.321,1.371,1.414,1.467,1.509,1.562,1.615,1.673,1.733,1.797,1.867,1.942,2.024,2.115,2.21,2.307,2.403,2.498,2.602,2.698,2.811,2.927,NPgY,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
FISH DAM LANE,0.516,0.565,0.611,0.627,0.64,0.654,0.67,0.684,0.703,0.715,0.733,0.749,0.766,0.784,0.803,0.825,0.848,0.874,0.903,0.934,0.961,0.994,1.023,1.051,1.082,1.125,1.171,NPgY,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
