Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
CONEYTHORPE,62.9,63.5,66.2,67.4,68.8,70.4,72.2,74.6,77.3,80.1,82.8,85.4,87.8,89.9,91.6,93.1,94.6,95.9,97.2,98.3,99.4,100.2,101,101.6,102.2,102.9,103.2,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CONSETT,54.6,55.2,56.2,57.7,59.4,61.2,63.3,66.6,70.5,74.4,78.4,82,85.3,88.2,90.6,92.8,94.6,96.5,98.1,99.7,101,102.2,103.2,103.9,104.6,105.2,105.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CORPORATION STREET,49.9,49.5,49.5,49.5,49.7,50,50.2,50.2,50.5,50.9,51.3,51.5,51.9,52.4,52.8,53.2,53.5,53.9,54.2,54.6,54.8,55.1,55.3,55.5,55.7,55.9,55.9,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CRAMLINGTON T1 T3,43.7,43.8,46.2,46.7,47.3,48,48.7,49.8,50.9,52.2,53.3,54.1,54.9,55.6,56.3,56.9,57.4,57.9,58.4,58.8,59.2,59.6,59.8,60.1,60.3,60.5,60.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CRAMLINGTON T2 T4,45.5,45.6,45.8,46.3,46.9,47.6,48.4,49.6,50.8,52.1,53.3,54.2,55.1,56,56.7,57.4,57.9,58.5,59,59.5,59.8,60.1,60.4,60.6,60.8,60.9,61,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
DARLEY,42,42.8,43.7,44.8,47.1,51.3,55.3,59.3,63.7,68.6,73.7,79.6,84.7,89.6,94.1,98.5,102.7,106.9,110.9,114.3,117.5,120.5,123.4,125.5,127.2,128.9,130.4,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
DARLINGTON 132/6KV,22.3,23.3,24.8,26.8,29.1,31.4,34,37.3,41.2,45.3,49.1,51.8,54.9,57.9,60.4,62.6,64.6,66.4,68.1,69.6,71,72.1,73,73.5,74.1,74.6,74.6,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
DARLINGTON 33/11KV,60.5,60.4,64.8,65.7,66.8,68.2,69.6,71.6,74.2,77.1,79.8,81.8,84.1,86.2,88,89.7,91.1,92.5,93.8,94.9,95.9,96.7,97.4,97.8,98.2,98.6,98.7,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
DARLINGTON CENTRAL 33/11KV,30.7,30.5,33.6,33.7,33.9,34.1,34.4,34.7,35.1,35.4,35.8,36.2,36.6,37,37.3,37.6,37.9,38.1,38.4,38.6,38.7,38.9,39,39,39.1,39.1,39.1,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
DARLINGTON EAST,75.3,76,81.4,83,84.8,86.9,89.1,92.1,94.9,97.9,100.9,103.9,106.2,108.2,109.9,111.5,112.9,114.2,115.4,116.4,117.3,118.1,118.7,119.1,119.5,119.9,120,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
DARLINGTON WEST,81.3,82.2,88.6,90.6,93,95.7,98.8,103,108.2,113.8,118.8,122.5,126.8,130.8,134.2,137.1,139.7,142,144.1,145.9,147.4,148.7,149.7,150.3,151,151.5,151.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
DENWICK,71.1,71.5,72.6,74.4,76.5,78.8,81.4,85.3,89.8,94.4,100,106.5,111.2,115.2,118.5,121.4,123.9,126.3,128.5,130.5,132.3,133.8,135.3,136.4,137.5,138.5,138.8,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
DUNSTON 66/11KV,55.5,55.3,65.8,66.2,66.6,67.3,68.2,69.4,70.9,72.3,73.7,75,76.2,77.4,78.4,79.3,80.1,80.8,81.4,82,82.4,82.8,83.1,83.2,83.3,83.5,83.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
DUNSTON 66/20KV,52.8,53.1,56.2,57,57.8,58.8,60.1,62.1,64.2,66.2,68.3,70.3,72.1,73.7,75.1,76.2,77.3,78.3,79.1,80,80.7,81.3,81.8,82.1,82.5,82.8,82.9,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
DURHAM EAST,63.2,63.3,66.8,67.2,67.8,68.4,69.1,69.9,70.9,72,72.9,73.6,74.4,75.2,75.9,76.6,77.3,78,78.7,79.4,80.1,80.7,81.3,81.7,82.2,82.7,83,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
EASTFIELD,82.6,83.1,90.2,92,94.1,96.4,98.8,102.5,106.3,110.1,114.1,117.9,121.1,123.7,125.9,127.8,129.5,131.1,132.6,134.6,136.4,137.9,139.4,140.6,141.8,142.8,143.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
EASTGATE CEMENT,36.3,36.3,36.4,36.5,37.1,38.2,39.4,40.5,41.8,43.3,44.9,46.8,48.4,50,51.4,52.9,54.3,55.7,57,58.2,59.3,60.3,61.3,62.1,62.8,63.4,64,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
EDUCATIONAL PRECINCT,79.3,78.8,84.4,84.4,84.6,85,85.3,85.6,86.5,87.5,88.4,88.7,89.5,90.4,91.2,91.9,92.6,93.3,94,94.6,95.1,95.6,96,96.3,96.7,96.9,97.1,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
ELVINGTON,56.8,56.8,59.9,60.3,60.9,62.1,63.4,64.8,66.6,68.5,70.8,73.5,75.6,77.6,79.5,81.3,82.9,84.5,86,87.3,88.5,89.7,90.8,91.7,92.5,93.3,93.9,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
FARADAY STREET,92.9,93.1,102.4,104,105.8,107.8,109.7,112,115.1,118.6,121.7,123.5,126,128.3,130.1,131.8,133.4,134.9,136.4,137.6,138.7,139.6,140.4,141,141.5,142,142,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
FAWDON T1 & SEATON BURN T1,80.4,82.5,87.9,90.7,93.8,97.1,100.6,105.6,110.8,116.2,121.8,127.2,131.7,135.6,138.9,141.9,144.7,147.4,149.8,152.1,154.1,155.8,157.4,158.4,159.6,160.5,161,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
FISHBURN,63,64.1,67,69,71.2,73.6,76.4,80.8,85.7,90.6,96.7,103.8,108.9,113.1,116.5,119.4,122,124.5,126.6,128.6,130.4,131.9,133.3,134.5,135.6,136.6,136.9,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
