Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
NATIONAL AVENUE,29.8,29.8,30,30.2,30.4,30.8,31.2,32.4,34.3,36,37.6,39.1,39.9,40.6,41.2,42,43.1,44.2,45.3,46.5,47.6,48.7,49.6,50.5,51.3,52,52.8,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
NEW DROPPINGWELL ROAD,31.2,31.6,32.1,32.6,33.2,33.9,34.6,36.1,38.1,40.1,41.9,43.8,45,46,47,48.1,49.5,50.9,52.3,53.7,55,56.3,57.4,58.4,59.4,60.3,61.3,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
NEW ORCHARD LANE,43.3,44.5,47.8,49.3,51,52.8,54.9,57.4,60.5,63.8,67.3,71.3,74,76.5,79,81.5,83.8,86,88.1,90.1,91.9,93.6,95,96.3,97.4,98.6,99.9,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
NEWHALL ROAD,58.5,58.3,58.1,58,58,58,58,58.4,58.9,59.5,60.1,60.6,61,61.3,61.6,62,62.4,62.9,63.4,63.8,64.3,64.7,65.1,65.4,65.7,66,66.3,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
NEWPORT 1,46,46.8,49.6,50.5,51.6,52.7,53.9,55.3,57.2,59.1,61.5,65,67.2,69,70.6,72.2,73.4,74.4,75.4,76.3,77.2,78,78.7,79.5,80.2,81,82.2,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
NEWPORT 2,28.3,28.5,28.7,28.9,29.2,29.4,29.6,29.9,30.1,30.4,30.7,31,31.3,31.6,31.9,32.2,32.5,32.8,33.1,33.5,33.8,34.1,34.5,34.8,35.1,35.5,35.8,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
NINELANDS LANE,63.9,64.4,70.1,70.9,71.9,73.1,74.4,76.4,79,81.1,83.2,85.5,86.8,88,89.2,90.4,91.7,92.9,94,95.3,96.5,97.5,98.4,99.2,100,100.7,101.5,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
NORFOLK PARK,36.1,37.4,38.4,39.6,41,42.7,44.6,47.3,50.8,53.9,56.8,59.6,61,62.2,63.7,65.4,67.5,69.6,71.6,73.7,75.7,77.6,79.3,80.8,82.4,83.8,85.3,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
NORMANBY,53.5,54.8,56.2,57.9,59.7,61.7,63.6,66.1,69.4,72.6,77,83.5,87.5,90.1,92.2,94.4,96.3,97.9,99.5,101.1,102.4,103.6,104.8,106,107.1,108.4,110.3,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
NORMANTON,76.1,77.7,82.6,84.3,86.4,88.9,91.7,95.4,99.7,104.1,108.4,112.7,116.2,119.5,123,126.6,130.4,134.1,137.7,141,144,146.7,149.2,151.4,153.4,155.3,157.2,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
NORTH AVENUE,46.5,47.1,47.6,48.3,49.2,50.2,51.4,53.7,56.8,59.6,62.5,65.8,67.6,68.9,70.1,71.5,73.1,74.7,76.3,78,79.6,81,82.4,83.6,84.8,85.9,87.2,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
NORTH THORESBY,40.4,42,43,44.8,47,49.2,51.2,53.8,57.1,61.5,68.2,78.2,84.5,89.6,93.9,98.4,102.1,105.8,109.4,112.7,115.8,118.8,121.8,124.7,127.7,131.1,135.3,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
NORWOOD,58.3,59.6,61.8,63,64.4,66.1,67.9,70.7,74.5,78,82,86.9,89.8,92,93.9,96,98.1,100.1,102.1,104.1,106,107.8,109.4,110.9,112.5,114.1,116,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
OAKES ROAD,52.9,54,54.7,55.6,56.8,58.3,59.9,62.5,65.9,69.1,72,74.9,76.3,77.5,78.8,80.2,82.1,84.1,86,87.9,89.7,91.5,93,94.5,95.9,97.3,98.6,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
OAKWOOD LANE,36.7,37.5,38,38.6,39.4,40.3,41.4,43.2,45.6,47.6,49.5,51.3,51.8,52.2,52.6,53.2,54.1,55.2,56.2,57.4,58.7,59.9,60.9,62,63,63.9,64.9,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
ODSAL,67.3,67.5,67.7,67.9,68.4,69.1,69.8,71.5,73.9,76.2,78.5,80.8,82.1,83.2,84.4,85.8,87.4,89.2,90.9,92.6,94.2,95.7,97.1,98.3,99.4,100.5,101.6,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
OLYMPIA MILLS,53.8,54.9,56,57.3,58.9,60.6,62.5,64.8,67.8,70.6,74.1,78.6,81.6,83.8,86,88.3,90.5,92.4,94.2,96.1,97.7,99.4,100.8,102.3,103.7,105.1,106.8,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
ORGREAVE,34,34.5,34.9,35.3,35.8,36.4,37,37.7,38.7,39.8,40.8,42,42.6,43.2,43.8,44.5,45.3,46.1,46.9,47.7,48.4,49.1,49.8,50.4,51,51.6,52.3,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
OUTWOOD,52.8,54.6,55.5,56.7,58.3,60.2,62.4,64.9,68.2,71.3,74.2,76.9,78.5,80,81.7,83.6,85.8,88.1,90.4,92.6,94.7,96.7,98.5,100.1,101.8,103.3,104.9,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
PARK HILL,46.3,46.6,46.8,47.1,47.6,48.2,49,50,51.3,52.4,53.5,54.6,55.2,55.8,56.6,57.5,58.4,59.4,60.3,61.2,62,62.7,63.4,64,64.6,65.2,65.7,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
PARK ROAD,65.5,65.6,65.9,66.3,66.8,67.6,68.5,70.2,72.4,74.7,76.9,79.1,80.6,81.9,83.3,84.8,86.5,88.2,89.8,91.4,92.9,94.3,95.5,96.5,97.4,98.3,99.2,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
PARK STREET,27.4,27.9,28.4,28.9,29.6,30.4,31.2,32.6,34.4,36.3,38.1,39.9,41.1,42.2,43.4,44.6,46,47.4,48.8,50.1,51.4,52.6,53.7,54.7,55.6,56.5,57.4,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
PASTURE ROAD SOUTH,72.2,74.2,75.8,77.5,79.4,81.5,83.7,86.2,89.3,92.3,95.3,98.4,100.7,102.8,105.1,107.5,110.2,113,115.7,118.3,121,123.5,125.9,128.3,130.6,132.9,135.2,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
PATRINGTON ROAD,86.2,87.3,89.2,91.5,94,96.4,98.7,102.5,107.8,112.9,120.1,131.1,137.6,142.4,146.6,150.6,152.8,154.5,156.3,158.1,159.7,161.1,162.5,163.8,165.2,166.7,169.5,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
PENISTONE,50.3,51.8,52.8,53.9,55.3,56.8,58.5,60.5,63.1,65.7,68.3,71.2,73,74.6,76.2,77.8,79.6,81.4,83.2,84.9,86.5,88.1,89.5,90.8,92.1,93.4,94.9,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
PENISTONE ROAD,45.6,45.5,52.7,52.8,52.8,53,53.2,53.7,54.5,55.2,55.9,56.6,56.9,57.2,57.6,58,58.5,59.1,59.6,60.2,60.7,61.2,61.7,62.1,62.5,62.9,63.3,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
PLANGEO,57.2,58.1,60.6,61.3,62.2,63.2,64.5,66.7,69.8,72.8,75.6,78.1,79.1,79.8,80.7,81.9,83.6,85.5,87.3,89.2,91.1,92.9,94.6,96.2,97.7,99.3,100.8,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
POLLINGTON,57.9,59.1,60.3,61.7,63.4,65.3,67.3,69.7,72.8,75.8,79.8,85.3,88.8,91.6,94.2,96.7,98.7,100.3,101.9,103.4,104.7,106,107.1,108.2,109.3,110.4,112.1,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
PONTEFRACT LANE 1/2,58,58.1,61.8,62.3,63,63.9,65.1,66.8,68.7,70.5,72.4,74.4,76.1,77.7,79.5,81.2,82.8,84.3,85.7,87,88,88.9,89.5,90,90.3,90.6,90.8,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
POOL,32.5,32.5,32.5,32.6,32.7,32.9,33.1,33.5,34,34.6,35.3,36.1,36.6,37,37.4,37.8,38.2,38.5,38.8,39.1,39.4,39.7,40,40.2,40.4,40.6,40.9,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
PRINCE OF WALES,56.6,58.3,75.6,77,78.7,80.7,82.9,85.6,89,92.2,95.4,98.9,100.7,102.3,104.1,106.1,108.3,110.5,112.7,114.9,117,118.9,120.8,122.5,124.2,125.9,127.7,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
PROSPECT ROAD,46.6,47.2,51,51.6,52.4,53.3,54.3,56.1,58.5,60.8,63,65.1,66.2,67.2,68.2,69.4,70.8,72.3,73.7,75.2,76.6,77.9,79.1,80.2,81.2,82.2,83.2,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
QUEENS ROAD,43.8,43.8,62.5,62.8,63.2,63.9,64.7,65.9,67.3,68.8,70.3,71.9,73.4,74.9,76.4,77.9,79.3,80.7,81.9,83,83.9,84.6,85.2,85.6,86,86.2,86.5,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
QUEENSBURY,58.8,59.7,60.4,61.3,62.6,64.2,65.9,69.1,73.4,77.4,81.3,85,87.3,89.2,91.2,93.3,96,98.8,101.5,104.2,106.8,109.2,111.3,113.3,115.1,116.8,118.6,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
RAWCLIFFE,33.8,34.5,35,36,37.1,38.1,39.2,40.7,42.6,44.9,47.9,51.8,54.3,56.4,58.4,60.4,62.3,64.3,66.1,67.9,69.5,71,72.4,73.8,75.3,76.8,78.6,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
RAWDON,54,54.7,55.3,55.9,56.8,57.9,59.2,61.4,64.5,67.3,69.9,72.6,73.9,74.9,76,77.3,78.9,80.7,82.3,84.2,85.9,87.6,89.1,90.4,91.7,93,94.2,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
RAWMARSH ROAD 1_2,56.1,56.6,60.1,60.8,61.6,62.5,63.5,64.8,66.4,67.9,69.4,71,72,73,74,75,76.1,77.2,78.3,79.3,80.4,81.3,82.2,83.1,83.9,84.7,85.5,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
RAWMARSH ROAD 3_4,62.6,63,64.8,65.5,66.1,66.9,67.7,69.1,70.9,72.6,74.3,76.1,77.2,78.3,79.5,80.7,82.1,83.6,85,86.4,87.8,89.2,90.4,91.6,92.8,93.9,95,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
RAWSON ROAD,51,51,61.5,61.5,61.9,62.3,62.9,63.6,64.6,65.2,65.9,66.5,66.6,66.7,66.9,67.3,67.7,68.2,68.6,69.1,69.6,70,70.5,70.9,71.4,71.8,72.2,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
RAWSON SPRING ROAD,56.3,56.2,62.4,62.3,62.4,62.5,62.6,63.1,63.7,64.2,64.7,65.2,65.4,65.6,65.8,66,66.3,66.7,67,67.4,67.7,68,68.3,68.5,68.8,69,69.3,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
REVILL LANE,26.7,27.1,27.5,27.9,28.5,29.2,30,31.2,32.8,34.4,35.9,37.3,38.2,39.1,39.9,40.9,42,43.2,44.3,45.4,46.4,47.4,48.3,49.1,49.8,50.5,51.2,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
ROCKWARE,77.7,78,78.3,78.7,79.1,79.6,80.1,80.7,81.4,82.1,82.8,83.6,84.3,85.1,85.9,86.7,87.5,88.3,89.1,89.9,90.7,91.4,92.1,92.8,93.5,94.2,94.9,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
RODLEY LANE,91.2,92.4,95.8,96.8,98.2,99.9,102,105.7,110.7,115.2,119.4,123.5,125.4,126.9,128.5,130.4,133.1,135.8,138.5,141.5,144.3,147,149.4,151.7,153.8,155.8,157.9,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
ROMAN AVENUE,53.3,53.7,54.1,54.6,55.1,55.8,56.7,58.6,61.2,63.6,65.9,68.3,69.5,70.3,71.2,72.2,73.4,74.6,75.8,77.2,78.4,79.6,80.7,81.7,82.6,83.5,84.4,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
ROYDS LANE,62.5,63.8,64.7,65.8,67.4,69.2,71.3,74.2,78.1,81.8,85.6,89.7,92.2,94.4,96.7,99.1,101.6,104.2,106.6,109.1,111.3,113.4,115.2,116.9,118.4,119.9,121.5,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
SAINT ANDREWS ROAD 33/11KV,46.3,46.3,63.4,63.6,63.9,64.3,64.9,65.8,66.9,68.1,69.3,70.6,71.4,72.3,73.2,74.1,75.1,76.1,77,77.9,78.7,79.3,79.9,80.4,80.8,81.2,81.6,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
SAINT STREET,28.1,28.1,28.3,28.5,28.8,29.2,29.6,30.9,32.8,34.5,36.1,37.7,38.5,39.2,39.9,40.7,41.7,42.9,44,45.1,46.3,47.3,48.2,49.1,49.9,50.7,51.4,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
SALTERFORTH,48.1,48.1,48.5,49,49.6,50.2,50.9,52.4,54.6,56.8,59.1,61.9,63.4,64.6,65.8,67,68.3,69.6,70.9,72.2,73.3,74.2,75.1,75.8,76.6,77.3,78.3,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
SALTERHEBBLE,59.2,59.4,59.8,60.4,88.6,89.6,90.7,92.7,95.1,97.3,99.5,101.8,103.3,104.5,105.7,107,108.3,109.5,110.6,111.7,112.7,113.6,114.3,114.9,115.5,116,116.6,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
SALTSHOUSE ROAD,49.7,50.1,50.4,50.7,51.1,51.6,52.2,53.8,56,58.1,60.2,62.2,63.2,64,64.8,65.7,67,68.4,69.7,71.1,72.4,73.7,74.8,75.8,76.7,77.6,78.6,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
SANDHILL LANE,53.8,54.3,54.9,55.7,56.6,57.5,58.6,59.8,61.2,62.7,64.4,66.5,68,69.4,70.6,71.8,72.9,73.8,74.7,75.6,76.4,77.2,77.9,78.6,79.4,80.1,80.9,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
SAXON ROAD,51.8,52.2,52.7,53.4,54.2,55.1,56.2,58.6,61.8,64.7,67.4,69.9,71.2,72.2,73.4,74.8,76.7,78.6,80.5,82.4,84.3,86.1,87.7,89.2,90.7,92,93.4,NPgY,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
