Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
MANSFIELD ROAD 1,11.15,11.195,11.29,11.423,11.588,11.788,12.019,12.432,12.959,13.41,13.841,14.267,14.522,14.734,14.959,15.188,15.456,15.713,15.956,16.194,16.415,16.611,16.776,16.925,17.063,17.183,17.31,NPgY,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
MANSFIELD ROAD 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgY,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
MARKHAM GATES,12.838,13.153,13.412,13.717,14.067,14.478,14.936,15.66,16.621,17.515,18.399,19.306,19.848,20.308,20.81,21.342,21.958,22.591,23.201,23.805,24.381,24.919,25.403,25.847,26.272,26.665,27.095,NPgY,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
MARMION ROAD,14.117,14.315,14.502,14.727,14.99,15.301,15.664,16.447,17.5,18.429,19.301,20.126,20.513,20.81,21.177,21.597,22.16,22.756,23.322,23.922,24.511,25.066,25.566,26.032,26.482,26.896,27.312,NPgY,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
MARSDEN ROAD,15.483,15.459,15.462,15.483,15.526,15.589,15.675,15.904,16.224,16.508,16.772,17.016,17.118,17.196,17.289,17.404,17.567,17.743,17.909,18.085,18.26,18.424,18.572,18.711,18.845,18.969,19.089,NPgY,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
MARTONGATE,11.818,12.025,12.637,12.904,13.213,13.562,13.951,14.628,15.534,16.374,17.246,18.211,18.749,19.172,19.597,20.054,20.541,21.025,21.495,21.969,22.42,22.84,23.222,23.577,23.949,24.302,24.708,NPgY,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
MELTHAM,7.021,7.115,7.432,7.574,7.754,7.952,8.165,8.464,8.842,9.183,9.543,9.948,10.208,10.427,10.637,10.842,11.03,11.197,11.361,11.518,11.655,11.776,11.881,11.981,12.078,12.172,12.285,NPgY,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
MEXBOROUGH 1_2,18.614,18.943,19.547,19.893,20.301,20.776,21.306,22.125,23.215,24.255,25.299,26.38,27.053,27.636,28.268,28.937,29.7,30.492,31.256,32.009,32.726,33.398,34.007,34.568,35.107,35.617,36.163,NPgY,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
MIDDLETON TOWN STREET,18.347,18.531,18.821,18.979,19.2,19.476,19.81,20.395,21.177,21.86,22.508,23.134,23.407,23.621,23.858,24.145,24.54,24.95,25.344,25.796,26.232,26.639,27.004,27.343,27.669,27.968,28.284,NPgY,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
MILLHOUSES,6.621,6.697,6.759,6.835,6.928,7.042,7.176,7.465,7.861,8.211,8.542,8.861,9.012,9.128,9.269,9.431,9.648,9.879,10.1,10.331,10.556,10.767,10.957,11.132,11.3,11.455,11.616,NPgY,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
