Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
DENBY DALE ROAD,0.038,0.072,0.108,0.307,0.46,0.569,0.786,0.877,1.308,1.469,1.601,1.613,1.625,1.639,1.653,1.669,1.686,1.705,1.725,1.746,1.768,1.792,1.816,1.842,1.869,1.898,1.898,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
DENBY GRANGE,0.013,0.021,0.031,0.072,0.105,0.131,0.177,0.202,0.289,0.328,0.363,0.375,0.387,0.401,0.416,0.433,0.45,0.469,0.49,0.511,0.534,0.558,0.583,0.61,0.637,0.667,0.667,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
DENHOLME,0.017,0.03,0.045,0.111,0.164,0.204,0.278,0.315,0.458,0.517,0.569,0.582,0.596,0.611,0.627,0.645,0.665,0.686,0.708,0.732,0.756,0.783,0.81,0.839,0.869,0.901,0.901,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
DINNINGTON,0.073,0.129,0.191,0.491,0.728,0.904,1.238,1.395,2.044,2.306,2.53,2.577,2.625,2.68,2.739,2.803,2.872,2.947,3.027,3.112,3.202,3.296,3.395,3.498,3.607,3.721,3.721,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
DOUGHTY ROAD,0.121,0.22,0.326,0.864,1.287,1.594,2.19,2.46,3.626,4.083,4.471,4.537,4.604,4.682,4.765,4.856,4.953,5.06,5.173,5.293,5.419,5.552,5.691,5.837,5.991,6.152,6.152,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
DOWKER STREET,0.051,0.09,0.133,0.34,0.503,0.625,0.856,0.964,1.412,1.593,1.749,1.782,1.816,1.855,1.896,1.942,1.991,2.044,2.101,2.161,2.224,2.291,2.361,2.434,2.512,2.593,2.593,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
DRAX PRIMARY,0.017,0.029,0.042,0.101,0.149,0.186,0.253,0.287,0.415,0.469,0.518,0.531,0.546,0.562,0.58,0.599,0.62,0.642,0.666,0.691,0.718,0.746,0.776,0.806,0.839,0.873,0.873,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
DRIFFIELD,0.133,0.237,0.35,0.904,1.341,1.663,2.28,2.567,3.765,4.246,4.658,4.741,4.827,4.925,5.03,5.145,5.268,5.403,5.545,5.697,5.857,6.025,6.202,6.386,6.58,6.784,6.784,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
DRONFIELD,0.045,0.083,0.123,0.327,0.487,0.604,0.83,0.931,1.375,1.547,1.694,1.717,1.741,1.769,1.799,1.831,1.866,1.904,1.945,1.988,2.033,2.08,2.13,2.183,2.238,2.295,2.295,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
DUDLEY HILL,0.043,0.077,0.115,0.299,0.444,0.551,0.756,0.85,1.249,1.408,1.543,1.569,1.595,1.625,1.658,1.693,1.731,1.772,1.816,1.863,1.912,1.963,2.018,2.074,2.134,2.197,2.197,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
