Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
EDUCATIONAL PRECINCT,1.095,1.102,1.059,1.064,1.062,1.049,0.998,0.935,0.838,0.689,0.431,0.405,0.35,0.303,0.259,0.221,0.186,0.151,0.122,0.099,0.077,0.058,0.031,0.03,0.029,0.028,0.028,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
ELVINGTON,0.513,0.505,0.481,0.473,0.464,0.455,0.426,0.393,0.348,0.29,0.203,0.179,0.155,0.133,0.112,0.094,0.079,0.065,0.054,0.042,0.029,0.017,0.001,0.001,0,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
FARADAY STREET,6.434,6.408,6.338,6.314,6.289,6.263,6.178,6.078,5.947,5.775,5.52,5.448,5.377,5.204,4.972,4.821,4.706,4.55,4.334,4.128,3.892,3.703,3.33,2.89,2.323,1.967,1.967,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
FAWDON T1 & SEATON BURN T1,3.197,3.18,3.133,3.117,3.102,3.084,3.028,2.962,2.876,2.762,2.594,2.547,2.501,2.41,2.292,2.214,2.154,2.075,1.971,1.872,1.758,1.666,1.49,1.293,1.039,0.88,0.88,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
FISHBURN,2.904,2.888,2.846,2.832,2.817,2.801,2.751,2.691,2.613,2.51,2.358,2.315,2.273,2.19,2.084,2.013,1.957,1.886,1.792,1.701,1.598,1.515,1.354,1.175,0.944,0.8,0.8,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
FLATWORTH CENTRAL,0.633,0.622,0.593,0.583,0.572,0.561,0.526,0.484,0.429,0.357,0.25,0.221,0.191,0.164,0.138,0.116,0.098,0.08,0.066,0.051,0.035,0.021,0.002,0.001,0.001,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
FOSS ISLANDS,2.331,2.291,2.183,2.145,2.108,2.067,1.936,1.783,1.581,1.315,0.922,0.813,0.703,0.604,0.507,0.428,0.36,0.294,0.244,0.189,0.13,0.079,0.007,0.004,0.002,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
FOSSWAY 33/11KV,2.029,2.01,1.958,1.939,1.921,1.902,1.838,1.764,1.667,1.538,1.349,1.296,1.243,1.175,1.097,1.041,0.995,0.942,0.884,0.826,0.761,0.708,0.614,0.532,0.427,0.361,0.361,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
FOURSTONES 20KV,2.82,2.911,2.82,2.898,2.94,2.92,2.821,2.683,2.429,1.979,1.102,1.106,0.96,0.834,0.723,0.624,0.525,0.426,0.335,0.283,0.243,0.209,0.16,0.158,0.155,0.153,0.153,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
FYLANDS BRIDGE,0.893,0.878,0.836,0.822,0.808,0.792,0.742,0.683,0.606,0.504,0.353,0.311,0.269,0.231,0.194,0.164,0.138,0.113,0.093,0.072,0.05,0.03,0.003,0.002,0.001,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
