Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
DINNINGTON,92,152,216,311,414,507,684,966,1308,1712,2143,2594,3069,3563,4076,4588,5093,5547,6020,6443,6836,7190,7485,7736,7933,8108,8114,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
DOUGHTY ROAD,95,135,175,236,303,369,492,756,1135,1589,2035,2422,2876,3358,3877,4408,5007,5603,6205,6782,7347,7873,8333,8737,9083,9393,9399,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
DOWKER STREET,56,90,124,173,227,279,378,556,790,1069,1340,1573,1846,2139,2452,2771,3127,3476,3834,4172,4500,4805,5072,5310,5516,5704,5707,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
DRAX PRIMARY,17,28,44,69,94,114,152,216,294,386,562,893,1172,1390,1520,1639,1700,1696,1703,1694,1669,1635,1591,1543,1484,1432,1433,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
DRIFFIELD,185,310,444,642,860,1061,1446,1918,2392,2949,3661,4634,5539,6360,7030,7683,8248,8618,9047,9373,9634,9851,10016,10153,10244,10352,10363,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
DRONFIELD,41,63,88,125,161,194,258,439,720,1056,1409,1767,2160,2569,3001,3441,3923,4393,4865,5313,5740,6126,6450,6724,6940,7118,7123,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
DUDLEY HILL,46,74,102,143,188,231,313,460,652,881,1100,1279,1494,1726,1977,2233,2523,2808,3100,3377,3648,3902,4125,4324,4496,4654,4656,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
DUNKESWICK,28,43,62,91,120,147,196,275,374,491,701,1082,1407,1678,1874,2053,2133,2152,2185,2196,2188,2166,2131,2091,2037,1990,1991,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
DURKAR LOW LANE,126,219,315,456,611,755,1033,1446,1929,2502,3098,3693,4335,5010,5716,6426,7158,7832,8536,9167,9757,10294,10749,11145,11469,11765,11769,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
EASINGTON,6,8,13,22,31,36,46,66,92,121,167,241,304,361,410,455,476,480,487,490,486,478,467,454,439,424,425,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
