Demand type,2023/24,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51
Electrolysers,0,0,9,22,26,34,68,103,147,217,310,424,583,665,981,1018,1070,1124,1228,1454,1594,1703,1769,1856,1942,1969,1967,1936
Large industry Fuel Switching,21,28,35,46,58,69,81,92,108,123,138,153,168,189,209,230,250,271,313,355,397,439,481,550,619,688,757,827
