Additional Energy consumption breakdown,2023/24,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51
Electrolysers,0.000,0.001,0.079,0.191,0.224,0.298,0.593,0.906,1.291,1.897,2.720,3.713,5.103,5.828,8.596,8.921,9.369,9.844,10.757,12.740,13.967,14.915,15.498,16.257,17.012,17.251,17.230,16.957
Large industry Fuel Switching,0.183,0.244,0.305,0.406,0.506,0.607,0.708,0.809,0.942,1.075,1.208,1.341,1.474,1.653,1.833,2.012,2.191,2.371,2.739,3.107,3.475,3.843,4.211,4.817,5.423,6.029,6.635,7.241
